date,confirmed_cases,deaths,stringency_index
1/1/2020,0,0,0
1/2/2020,0,0,0
1/3/2020,0,0,0
1/4/2020,0,0,0
1/5/2020,0,0,0
1/6/2020,0,0,0
1/7/2020,0,0,2.78
1/8/2020,0,0,2.78
1/9/2020,0,0,2.78
1/10/2020,0,0,2.78
1/11/2020,0,0,2.78
1/12/2020,0,0,2.78
1/13/2020,0,0,2.78
1/14/2020,0,0,2.78
1/15/2020,1,0,2.78
1/16/2020,1,0,2.78
1/17/2020,1,0,2.78
1/18/2020,1,0,2.78
1/19/2020,1,0,2.78
1/20/2020,1,0,2.78
1/21/2020,1,0,2.78
1/22/2020,1,0,2.78
1/23/2020,1,0,2.78
1/24/2020,2,0,2.78
1/25/2020,2,0,2.78
1/26/2020,3,0,2.78
1/27/2020,3,0,2.78
1/28/2020,4,0,2.78
1/29/2020,7,0,2.78
1/30/2020,11,0,2.78
1/31/2020,14,0,2.78
2/1/2020,15,0,8.33
2/2/2020,19,0,8.33
2/3/2020,20,0,8.33
2/4/2020,20,0,19.44
2/5/2020,25,0,19.44
2/6/2020,25,0,19.44
2/7/2020,25,0,19.44
2/8/2020,25,0,19.44
2/9/2020,25,0,19.44
2/10/2020,25,0,19.44
2/11/2020,25,0,19.44
2/12/2020,25,0,19.44
2/13/2020,29,1,19.44
2/14/2020,30,1,19.44
2/15/2020,38,1,19.44
2/16/2020,52,1,19.44
2/17/2020,59,1,19.44
2/18/2020,59,1,19.44
2/19/2020,66,1,19.44
2/20/2020,84,1,25
2/21/2020,93,1,25
2/22/2020,105,1,25
2/23/2020,132,1,25
2/24/2020,144,1,25
2/25/2020,144,1,34.26
2/26/2020,164,1,34.26
2/27/2020,186,3,34.26
2/28/2020,210,3,34.26
2/29/2020,230,3,34.26
3/1/2020,239,5,34.26
3/2/2020,254,6,43.52
3/3/2020,254,6,43.52
3/4/2020,268,6,43.52
3/5/2020,317,6,43.52
3/6/2020,349,6,43.52
3/7/2020,408,6,43.52
3/8/2020,455,6,43.52
3/9/2020,488,7,40.74
3/10/2020,514,9,40.74
3/11/2020,568,12,40.74
3/12/2020,619,15,40.74
3/13/2020,675,19,40.74
3/14/2020,737,21,40.74
3/15/2020,780,22,40.74
3/16/2020,814,24,40.74
3/17/2020,824,28,40.74
3/18/2020,829,28,40.74
3/19/2020,873,29,40.74
3/20/2020,950,33,40.74
3/21/2020,1007,35,40.74
3/22/2020,1046,36,40.74
3/23/2020,1089,41,40.74
3/24/2020,1128,42,40.74
3/25/2020,1193,43,40.74
3/26/2020,1268,45,40.74
3/27/2020,1364,46,40.74
3/28/2020,1499,49,40.74
3/29/2020,1693,52,40.74
3/30/2020,1866,54,40.74
3/31/2020,1953,56,40.74
4/1/2020,1953,56,40.74
4/2/2020,2178,57,40.74
4/3/2020,2617,63,43.52
4/4/2020,2935,69,43.52
4/5/2020,3271,70,43.52
4/6/2020,3654,73,43.52
4/7/2020,3906,80,45.37
4/8/2020,4257,81,45.37
4/9/2020,4768,85,45.37
4/10/2020,5347,88,45.37
4/11/2020,6005,94,45.37
4/12/2020,6748,98,45.37
4/13/2020,7255,102,45.37
4/14/2020,7645,109,45.37
4/15/2020,8100,119,45.37
4/16/2020,8582,136,47.22
4/17/2020,9167,148,47.22
4/18/2020,9795,154,47.22
4/19/2020,10361,161,47.22
4/20/2020,10751,171,47.22
4/21/2020,11118,186,47.22
4/22/2020,11496,186,47.22
4/23/2020,11772,287,47.22
4/24/2020,12240,317,47.22
4/25/2020,12892,334,47.22
4/26/2020,13182,348,47.22
4/27/2020,13385,351,47.22
4/28/2020,13576,376,47.22
4/29/2020,13852,389,47.22
4/30/2020,14088,415,47.22
5/1/2020,14281,432,47.22
5/2/2020,14544,458,47.22
5/3/2020,14839,492,47.22
5/4/2020,15057,510,47.22
5/5/2020,15231,521,47.22
5/6/2020,15354,543,47.22
5/7/2020,15463,551,47.22
5/8/2020,15547,557,47.22
5/9/2020,15628,601,47.22
5/10/2020,15747,613,47.22
5/11/2020,15798,621,47.22
5/12/2020,15874,643,47.22
5/13/2020,16024,668,47.22
5/14/2020,16079,687,40.74
5/15/2020,16193,710,40.74
5/16/2020,16237,725,40.74
5/17/2020,16285,744,40.74
5/18/2020,16305,749,40.74
5/19/2020,16365,763,40.74
5/20/2020,16385,771,40.74
5/21/2020,16424,777,40.74
5/22/2020,16513,796,40.74
5/23/2020,16536,808,40.74
5/24/2020,16550,820,40.74
5/25/2020,16581,830,31.48
5/26/2020,16623,846,34.26
5/27/2020,16651,858,34.26
5/28/2020,16651,858,34.26
5/29/2020,16719,874,34.26
5/30/2020,16804,886,34.26
5/31/2020,16851,891,34.26
6/1/2020,16884,892,26.85
6/2/2020,16930,894,26.85
6/3/2020,16986,900,26.85
6/4/2020,17018,903,26.85
6/5/2020,17064,907,26.85
6/6/2020,17103,914,26.85
6/7/2020,17141,916,26.85
6/8/2020,17174,916,26.85
6/9/2020,17210,916,26.85
6/10/2020,17251,919,26.85
6/11/2020,17292,920,26.85
6/12/2020,17332,922,26.85
6/13/2020,17382,924,26.85
6/14/2020,17429,925,26.85
6/15/2020,17502,925,26.85
6/16/2020,17587,927,26.85
6/17/2020,17628,931,26.85
6/18/2020,17668,935,26.85
6/19/2020,17740,935,26.85
6/20/2020,17799,952,26.85
6/21/2020,17799,952,24.07
6/22/2020,17916,953,24.07
6/23/2020,17968,955,24.07
6/24/2020,18027,963,24.07
6/25/2020,18110,968,24.07
6/26/2020,18197,969,24.07
6/27/2020,18297,971,24.07
6/28/2020,18390,971,24.07
6/29/2020,18476,972,24.07
6/30/2020,18593,972,24.07
7/1/2020,18723,974,24.07
7/2/2020,18874,975,24.07
7/3/2020,19068,976,24.07
7/4/2020,19282,977,24.07
7/5/2020,19522,977,24.07
7/6/2020,19775,977,24.07
7/7/2020,19981,978,24.07
7/8/2020,20174,980,24.07
7/9/2020,20371,981,24.07
7/10/2020,20719,982,24.07
7/11/2020,21129,982,24.07
7/12/2020,21502,982,24.07
7/13/2020,21868,982,24.07
7/14/2020,22220,982,24.07
7/15/2020,22508,984,24.07
7/16/2020,22890,985,24.07
7/17/2020,23473,985,24.07
7/18/2020,24132,985,24.07
7/19/2020,24642,985,24.07
7/20/2020,25096,985,24.07
7/21/2020,25736,988,24.07
7/22/2020,26303,989,24.07
7/23/2020,27029,990,28.7
7/24/2020,27956,992,28.7
7/25/2020,28786,993,28.7
7/26/2020,29382,996,32.41
7/27/2020,29989,996,32.41
7/28/2020,29989,996,32.41
7/29/2020,31333,1000,32.41
7/30/2020,32459,1003,32.41
7/31/2020,33774,1005,32.41
8/1/2020,34372,1006,32.41
8/2/2020,36081,1010,32.41
8/3/2020,38072,1011,32.41
8/4/2020,39858,1016,32.41
8/5/2020,41129,1022,32.41
8/6/2020,42263,1026,30.56
8/7/2020,43815,1033,30.56
8/8/2020,45439,1039,30.56
8/9/2020,46783,1040,30.56
8/10/2020,47990,1047,30.56
8/11/2020,48238,1051,30.56
8/12/2020,49512,1058,30.56
8/13/2020,50444,1062,30.56
8/14/2020,51513,1072,30.56
8/15/2020,53577,1085,30.56
8/16/2020,54714,1088,30.56
8/17/2020,54952,1098,30.56
8/18/2020,55958,1114,30.56
8/19/2020,57550,1128,30.56
8/20/2020,58501,1144,30.56
8/21/2020,59721,1155,30.56
8/22/2020,60733,1169,30.56
8/23/2020,61747,1176,30.56
8/24/2020,61754,1180,30.56
8/25/2020,63121,1196,30.56
8/26/2020,63822,1209,30.56
8/27/2020,64668,1226,30.56
8/28/2020,65573,1238,30.56
8/29/2020,66423,1255,30.56
8/30/2020,67264,1264,30.56
8/31/2020,67865,1279,30.56
9/1/2020,68392,1296,30.56
9/2/2020,69001,1307,30.56
9/3/2020,69599,1319,30.56
9/4/2020,70268,1330,30.56
9/5/2020,70876,1349,30.56
9/6/2020,71419,1357,30.56
9/7/2020,71856,1363,30.56
9/8/2020,72234,1377,30.56
9/9/2020,72726,1393,30.56
9/10/2020,73221,1406,37.04
9/11/2020,73901,1412,37.04
9/12/2020,74544,1423,37.04
9/13/2020,75218,1439,37.04
